HP|14-df0023i3-8130U|14.0|Intel Ci3-8130U|4|128|193424231362|317|https://www.frys.com/product/9861255?site=sr:SEARCH:MAIN_RSLT_PG|"HP 14-df0023 14'" Refurbished Laptop With Intel Ci3-8130U Processor, 4GB Memory, 128GB SSD, Windows 10"|2019-09-24 17:48
Samsung|FlashCel.N4000|13.3|Intel Celeron N4000|4|""|887276343402|349|https://www.frys.com/product/9930296?site=sr:SEARCH:MAIN_RSLT_PG|"Samsung Notebook Flash Charcoal 13.3'" Laptop With Intel Celeron N4000 Processor, 4GB Memory, 64GB eMMC, Windows 10 Home S mode."|2019-09-24 17:48
Acer|Swift1SF114-32-P7BG|14.0|Intel Pentiun N5000|4|""|191114869857|349|https://www.frys.com/product/9658613?site=sr:SEARCH:MAIN_RSLT_PG|"Acer Swift 1 14'" Laptop With Intel Pentiun N5000 Processor, 4GB Memory, 64GB eMMC, Windows 10"|2019-09-24 17:48
Acer|CB315-25TXA4-9120C|15.6|AMD A4-9120C|4|""|193199071583|279|https://www.frys.com/product/9871325?site=sr:SEARCH:MAIN_RSLT_PG|"Acer CB315-2H-25TX 15.6'" Chromebook With AMD A4-9120C Processor, 4GB Memory, 32GB eMMC, Chrome OS"|2019-09-24 17:48
Acer|A315-21-95KF|15.6|AMD A9-9420|6|1000|191114251423|349|https://www.frys.com/product/9815065?site=sr:SEARCH:MAIN_RSLT_PG|"Acer Aspire 3 A315-21-95KF 15.6'" Laptop With AMD A9-9420 Processor, 6GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Samsung|XE500C13-K04US|11.6|""|4|16|887276201603|219|https://www.frys.com/product/9099197?site=sr:SEARCH:MAIN_RSLT_PG|"Samsung 11.6'" Chromebook with 4GB Memory, 16GB SSD, and Google Chrome OS"|2019-09-24 17:48
Acer|Aspire3A315-51-56GT|15.6|7th Generation Intel® Core|""|""|191114485637|399|https://www.frys.com/product/9576612?site=sr:SEARCH:MAIN_RSLT_PG|"Aspire 3 A315-51-56GT 15.6'" Laptop with 7th Generation Intel® Core'" i5-7200U processor 4GB, 1TB, 802.11ac Windows 10"|2019-09-24 17:48
Acer|A114-32-P7E5|14.0|Intel Pentium N5000|4|""|191114869840|299|https://www.frys.com/product/9657133?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A114-32 14'" Laptop With Intel Pentium N5000 Processor, 4GB Memory, 64GB eMMC, Windows 10 Office 365 Included"|2019-09-24 17:48
Acer|Spin1SP111-33-C6UV|11.6|Intel Celeron N4000|4|""|191114870006|269|https://www.frys.com/product/9658883?site=sr:SEARCH:MAIN_RSLT_PG|"Acer SP111-C6 11.6'" 2-in-1 Touchscreen Laptop With Intel Celeron N4000 Processor, 4GB Memory, 64GB eMMC, Windows 10, Office 365 Included"|2019-09-24 17:48
Lenovo|S340-15IWLi78565U|15.6|Intel Ci7-8565U|8|""|193268985285|699|https://www.frys.com/product/9848365?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo Ideapad S340-15 15.6'" Full HD Laptop With Intel Ci7-8565U Processor, 8GB Memory, 256GB SSD, Windows 10"|2019-09-24 17:48
Acer|A315-31-C7CFCel.|15.6|""|4|500|191114594971|299|https://www.frys.com/product/9764044?site=sr:SEARCH:MAIN_RSLT_PG|"Acer Aspire 3 A315-31-C7CF 15.6'" Intel Celeron N3350 Processor, 4GB Memory, 500GB Hard Drive, Windows 10"|2019-09-24 17:48
Acer|A715-72G-79BH|15.6|Intel Ci7-8750H|8|1000|191114716694|849|https://www.frys.com/product/9657833?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A715-72G 15.6'" Gaming Laptop With Intel Ci7-8750H Processor, 8GB Memory, 1TB Hard Drive, GTX 1050 4GB Graphics, Windows 10"|2019-09-24 17:48
Acer|Spin1SP111-33-P4VC|11.6|Intel Pentium N5000|4|""|191114869772|299|https://www.frys.com/product/9658983?site=sr:SEARCH:MAIN_RSLT_PG|"Acer SP111-P4 11.6'" 2-in1 Touchscreen Laptop With Intel Pentium N5000 Processor, 4GB Memory, 64GB eMMC, Windows 10, Office 365 Included"|2019-09-24 17:48
Acer|A315-53-55Y1|15.6|""|4|1000|191114796276|449|https://www.frys.com/product/9696993?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A315-53 15.6'" Intel Ci5-8250U Processor Laptop with 4GB Memory +16GB Optane Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Dell|Insp173785R32300U|17.3|AMD Ryzen 3 2300U|8|1000|884116315452|499|https://www.frys.com/product/9850865?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i3785-A452BLK-PUS 17.3'" Laptop With AMD Ryzen 3 2300U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Ematic|EWT117|11.6|Intel Atom|2|32|815592023098|159|https://www.frys.com/product/9753524?site=sr:SEARCH:MAIN_RSLT_PG|"Ematic EWT117 11.6'" 2-in-1 Touchscreen Laptop With Intel Atom Processor, 2GB Memory, 32GB Storage, Windows 10"|2019-09-24 17:48
Samsung|XE500C13-K05US|11.6|Intel Celeron N3060|2|16|887276201610|169.99|https://www.frys.com/product/9099187?site=sr:SEARCH:MAIN_RSLT_PG|"Samsung Chromebook 11.6'" Laptop with Intel Celeron N3060 Processor, 2GB Memory, 16GB Storage, Google Chrome OS"|2019-09-24 17:48
Samsung|XE520QAB-K03US|12.2|Intel Celeron 3965Y|4|64|887276297132|449.99|https://www.frys.com/product/9737914?site=sr:SEARCH:MAIN_RSLT_PG|"Samsung XE520QAB-K03US 12.2'" Touchscreen 2-in-1 Chromebook Plus With Intel Celeron 3965Y Processor, 4GB Memory, 64GB Storage, Bulit in Pen, Chrome OS"|2019-09-24 17:48
HP|14-cd1055cli5-8265U|14.0|ntel Ci5-8265U|8|256|193808989636|599|https://www.frys.com/product/9944046?site=sr:SEARCH:MAIN_RSLT_PG|"HP 14-cd1055cl 14'" Refurbished Touchscreen 2-in-1 Laptop WithIntel Ci5-8265U Processor, 8GB Memory, 256GB SSD, Windows 10 - Silver"|2019-09-24 17:48
Acer|A715-79R9i7-8750H|15.6|Intel Ci7-8750H|8|256|191114868096|999|https://www.frys.com/product/9913866?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A715-72G-79R9 15.6'" Laptop With Intel Ci7-8750H Processor, 8GB Memory, 256GB SSD, GTX 1050Ti 4GB Graphics, Windows 10"|2019-09-24 17:48
