brand|cpu|graphics|hd|lastUpdated|link|model|price|ram|screenSize|store|title|upc
Dell|Intel® Core||1000|2019-09-28 07:08|https://www.frys.com/product/9594072?site=sr:SEARCH:MAIN_RSLT_PG|G3779-7927BLK-PUS|999|16|17.3|Fry's|"Dell G3779-7927BLK-PUS, 17.3'" Laptop With Intel® Core'" i7 Processor, 16GB Memory,NVIDIA® GeForce® GTX 1050 Ti, 4GB GDDR5 Graphics Card, 1TB Hard Drive + 128GB Solid-State Drive and Windows 10 Home - Black"|884116293927
Acer|AMD Ryzen 5||1000|2019-09-28 07:08|https://www.frys.com/product/9576592?site=sr:SEARCH:MAIN_RSLT_PG|A315-41-R8UU|499|8|15.6|Fry's|"Acer A315-41-R8UU, 15.6'" Laptop With AMD Ryzen 5 Processor, 8GB Memory, 1TB Hard Drive and Windows 10 Home"|191114639825
HP|Intel Celeron N3060||""|2019-09-28 07:08|https://www.frys.com/product/9099497?site=sr:SEARCH:MAIN_RSLT_PG|11-v002|116.47|4|11.6|Fry's|"HP 11-v002, 11.6'" Refurbished Chromebook With Intel Celeron N3060 Processor, 4GB Memory, 16GB Solid State Drive and Chrome OS"|190781118817
HP|Intel Core i7-6560U||256|2019-09-28 07:08|https://www.frys.com/product/8955383?site=sr:SEARCH:MAIN_RSLT_PG|15-as043|629.07|16|15.6|Fry's|"HP 15-as043 Intel Core i7-6560U 15.6'" Touchscreen Refurbished Laptop With 16GB Memory, 256GB SSD, Windows 10"|190780050750
Asus|Intel Core i7-7820HK||256|2019-09-28 07:08|https://www.frys.com/product/9088837?site=sr:SEARCH:MAIN_RSLT_PG|G701VI-XS72K|2599|32|17.3|Fry's|"Asus G701VI-XS72K Intel Core i7-7820HK, 17.3'" Gaming Laptop With 32GB Memory, 2x256GB SSD, Windows 10 Professional"|889349638095
Lenovo|AMD Ryzen 5 2500U||2000|2019-09-28 07:08|https://www.frys.com/product/9888005?site=sr:SEARCH:MAIN_RSLT_PG|IP330Ryzen52500U|450.07|12|15.6|Fry's|"Lenovo IP 330-15ARR 15.6'" Touchscreen Laptop With AMD Ryzen 5 2500U Processor, 12GB Memory, 2TB Hard Drive, Radeon Vega8 Graphics, Windows 10"|193124218236
Dell|Core m5-6Y57||256|2019-09-28 07:08|https://www.frys.com/product/9773544?site=sr:SEARCH:MAIN_RSLT_PG|Latitude7275|317.57|8|12.5|Fry's|"Dell Latitude 7275 12.5'" Touchscreen Refurbished 2-in-1 Laptop With Core m5-6Y57 Processor, 8GB Memory, 256GB SSD, Windows 10 Professional"|678021760663
Asus|""||""|2019-09-28 07:08|https://www.frys.com/product/8911903?site=sr:SEARCH:MAIN_RSLT_PG|G752VS-XB72K|1899|""|17.3|Fry's|"Asus G752-72K i7-6820HK 17.3'" Measured Diagonal 32GB, 1TB+256GB, DVDRW GTX1070  8GB, Win 10 Pro"|889349463901
Acer|""||""|2019-09-28 07:08|https://www.frys.com/product/9767944?site=sr:SEARCH:MAIN_RSLT_PG|SP111-31N-C4UG|149|4|11.6|Fry's|"Acer Spin1 SP111-31N 11.6'" 2-in-1 Touchscreen Laptop Intel Celeron N3350 Processor, 4GB Memory, 32GB eMMC, Windows 10, OFfice 365 and Stylus Included"|191114173046
Huawei|Intel Ci5-8250U||1000|2019-09-28 07:08|https://www.frys.com/product/9501452?site=sr:SEARCH:MAIN_RSLT_PG|53010BAJ|399|8|15.6|Fry's|"HUAWEI Matebook D 15.6'" Laptop With Intel Ci5-8250U Processor, 8GB Memory, 1TB Hard Drive, NVIDIA MX150 2G Graphics, Windows 10 - 53010BAJ"|886598052443
Dell|Intel Ci5-7200U||1000|2019-09-28 07:08|https://www.frys.com/product/9572672?site=sr:SEARCH:MAIN_RSLT_PG|i3567-5385BLK-PUS|399|8|15.6|Fry's|"Dell Insp.15 15.6'" Laptop With Intel Ci5-7200U Processor, 8GB Memory, 1TB Hard Drive, DVDRW, Windows 10"|884116277385
Lenovo|Intel Core i7-6700HQ||1000|2019-09-28 07:08|https://www.frys.com/product/8861732?site=sr:SEARCH:MAIN_RSLT_PG|Ideapad700|731.17|16|15.6|Fry's|"Lenovo Ideapad 700 Intel Core i7-6700HQ 15.6'" Laptop With 16GB Memory, 1TB Hard Drive + 256GB SSD, Windows 10"|190725431866
LG|""||256|2019-09-28 07:08|https://www.frys.com/product/9206709?site=sr:SEARCH:MAIN_RSLT_PG|14Z970-A.AAS5U1|599|""|14.0|Fry's|"LG 14Z970 Ci5-7200U 14'" Measured Diagonal 8GB, 256GBSSD, Touch Windows 10"|719192611139
Lenovo|Intel Core i7-6500U||""|2019-09-28 07:08|https://www.frys.com/product/8861722?site=sr:SEARCH:MAIN_RSLT_PG|Ideapad510|599|12|15.6|Fry's|"Lenovo Ideapad 510 Intel Core i7-6500U, 15.6'" Laptop With 12GB Memory, 1TB, Windows 10"|190576526193
Dell|Intel® Core™ i7||1000|2019-09-28 07:08|https://www.frys.com/product/9560162?site=sr:SEARCH:MAIN_RSLT_PG|i5570-7337SLV-PUS|599|8|15.6|Fry's|"Dell 15 KBL-R, 15.6'" Laptop With Intel® Core™ i7 Processor, 8GB Memory,Intel® UHD Graphics 620 Graphics Card,1TB Hard Drive and Windows 10 Home - Platinum Silver"|884116294337
MSI|Intel® Core||1000|2019-09-28 07:08|https://www.frys.com/product/9525382?site=sr:SEARCH:MAIN_RSLT_PG|GP73Leopard-001|1004.57|16|17.3|Fry's|"MSI GP73 Leopard-001, 17.3'" Laptop with Intel® Core'" i7 Processor, 16GB Memory, NVIDIA GeForce® GTX1050TI 4G GDDR5 Graphics Card, 1TB Hard Drive + 128GB Solid State Drive and Windows 10"|824142159859
Acer|Intel Ci7-8750H||1000|2019-09-28 07:08|https://www.frys.com/product/9658243?site=sr:SEARCH:MAIN_RSLT_PG|PH315-51-71FS|989|8|15.6|Fry's|"Acer PH315-71FS 15.6'" Gaming Laptop With Intel Ci7-8750H Processor, 8GB Memory, 1TB Hard Drive, GTX1060 6GB Graphics, Windows 10, NH.Q3FAA.007"|191114870013
HP|""||""|2019-09-28 07:08|https://www.frys.com/product/9240609?site=sr:SEARCH:MAIN_RSLT_PG|14-bw065nr|179|4|14.0|Fry's|"HP 14-bw065nr E2-9000e 14'" Laptop With 4GB Memory, 32eMMC, Windows 10"|191628043842
Dell|AMD Ryzen 5 2500U||1000|2019-09-28 07:08|https://www.frys.com/product/9502932?site=sr:SEARCH:MAIN_RSLT_PG|i5575-A347SLV-PUS|599|16|15.6|Fry's|"Dell AMD Ryzen 5 2500U 15.6'" Touchscreen Laptop With 16GB Memory, 1TB Hard Drive, DVDRW Windows 10"|884116293347
HP|Intel Celeron N3060||""|2019-09-28 07:08|https://www.frys.com/product/9424821?site=sr:SEARCH:MAIN_RSLT_PG|14-ax050nr|199|4|14.0|Fry's|"HP 14-ax050nr 14'" Stream Book Purple Laptop With Intel Celeron N3060 Processor, 4GB Memory, 64GB eMMC, Windows 10 - MS Office 365 included"|192018001930
Dell|Intel® Core||1000|2019-09-28 07:08|https://www.frys.com/product/9572562?site=sr:SEARCH:MAIN_RSLT_PG|G5587-7835BLK-PUS|908.07|16|15.6|Fry's|"Dell G5587-7835BLK-PUS, 15.6'" Laptop With Intel® Core'" i7 Processor, 16GB Memory,NVIDIA® GeForce® GTX 1050 Ti, 4GB GDDR5 Graphics Card,1TB Hard Drive + 256GB Solid-State Drive and Windows 10 Home - Black"|884116293835
Lenovo|Intel® Core™ i7||""|2019-09-28 07:08|https://www.frys.com/product/8861702?site=sr:SEARCH:MAIN_RSLT_PG|Flex4-15|699|16|15.6|Fry's|"Lenovo Flex4-15, 15.6'" Touchscreen Convertible Laptop With Intel® Core™ i7 Processor, 16GB Memory, 256GB Solid-State D"|190576402855
Lenovo|AMD FX-8800P||1000|2019-09-28 07:08|https://www.frys.com/product/8861652?site=sr:SEARCH:MAIN_RSLT_PG|Y700|599|12|15.6|Fry's|"Lenovo Y700 AMD FX-8800P 15.6'" Laptop with 12GB Memory, 1TB Hard Drive, Windows 10"|190576955054
Dell|2GB Memory||32|2019-09-28 07:08|https://www.frys.com/product/8519169?site=sr:SEARCH:MAIN_RSLT_PG|i3452-5600BLK|99|2|14.0|Fry's|"New Dell Inspiron 14'" Intel Celeron Laptop with 2GB Memory, 32GB SSD with Windows 10"|884116168027
Dell|Intel Ci5-5200U||1000|2019-09-28 07:08|https://www.frys.com/product/8860332?site=sr:SEARCH:MAIN_RSLT_PG|i3558-14590BLK|377|8|15.6|Fry's|"Dell Inspiron 15 Intel Ci5-5200U, 15.6'" Laptop With 8GB Memory, 1TB Hard Drive, Windows 10"|884116216667
Dell|Intel Celeron N3050||32|2019-09-28 07:08|https://www.frys.com/product/8977553?site=sr:SEARCH:MAIN_RSLT_PG|i3162-2040BLU|137|2|11.6|Fry's|"Dell Inspiron 11 Intel Celeron N3050 11.6'" Laptop With 2GB Memory, 32GB Storage, Windows 10"|884116219941
Dell|Intel Pentium N3710||500|2019-09-28 07:08|https://www.frys.com/product/8860292?site=sr:SEARCH:MAIN_RSLT_PG|i3168-3271BLU|277|4|11.6|Fry's|"Dell Insprion 11 Intel Pentium N3710, 11.6'" Touchscreen Convertible Laptop With 4GB Memory, 500GB Hard Drive, Windows 10"|884116217367
Lenovo|Intel Core i5-5200U||1000|2019-09-28 07:08|https://www.frys.com/product/8862092?site=sr:SEARCH:MAIN_RSLT_PG|Ideapad100|299|4|15.6|Fry's|"Lenovo Ideapad 100 Intel Core i5-5200U, 15.6'" Laptop With 4GB Memory, 1TB Hard Drive, Windows 10"|190151712348
Asus|Intel 7th Generation Core i5-7200U||1000|2019-09-28 07:08|https://www.frys.com/product/9101798?site=sr:SEARCH:MAIN_RSLT_PG|R518UA-RS51T|449|8|15.6|Fry's|"Asus R518UA-RS51T Intel 7th Generation Core i5-7200U, 15.6'" 2 -in-1 Laptop With 8GB Memory, 1TB Hard Drive, Windows 10"|889349653890
Lenovo|AMD A4-7210||500|2019-09-28 07:08|https://www.frys.com/product/8862082?site=sr:SEARCH:MAIN_RSLT_PG|Ideapad110|178.07|4|15.6|Fry's|"Lenovo Ideapad 110 AMD A4-7210 15.6'" Laptop With 4GB Memory, 500GB Hard Drive, Windows 10"|190576524373
Acer|Intel Cel.N3350||500|2019-09-28 07:08|https://www.frys.com/product/9341870?site=sr:SEARCH:MAIN_RSLT_PG|Aspire3A315-31-C514|218|4|15.6|Fry's|"Acer Aspire3 A315-31-C514, 15.6'" Laptop With Intel Cel.N3350, 4GB Memory, 500GB Hard Drive, Windows 10"|191114251416
Dell|Intel Celeron N3050||32|2019-09-28 07:08|https://www.frys.com/product/9014057?site=sr:SEARCH:MAIN_RSLT_PG|i3452-0200BLK|149|2|14.0|Fry's|"Dell Iris 14 Intel Celeron N3050 14'" Laptop With 2GB Memory, 32GB Storage, Windows 10"|884116218753
Asus|Intel Core i7-6500||1000|2019-09-28 07:08|https://www.frys.com/product/8928353?site=sr:SEARCH:MAIN_RSLT_PG|X556UR-FB72|499|16|15.6|Fry's|"Asus X556UR-FB72 15.6'" with Intel Core i7-6500 Processor,16GB Memory, 1TB Hard Drive, Windows 10"|889349475225
